Degree,Type
Bachelor in Hotel Management,Bachelor 
Bachelor of Architecture,Bachelor 
Bachelor of Architecture Interior Design,Bachelor 
Bachelor of Arts (General),Bachelor 
Bachelor of Arts & Bachelor of Law,Bachelor 
Bachelor of Arts Acient Indian Culture,Bachelor 
Bachelor of Arts Arabic (Honors),Bachelor 
Bachelor of Arts Bengali (Honors),Bachelor 
Bachelor of Arts Business Economics (Honors),Bachelor 
Bachelor of Arts Economics,Bachelor 
Bachelor of Arts Economics (Honors),Bachelor 
Bachelor of Arts Education,Bachelor 
Bachelor of Arts English,Bachelor 
Bachelor of Arts English (Honors),Bachelor 
Bachelor of Arts Folklore,Bachelor 
Bachelor of Arts Geography,Bachelor 
Bachelor of Arts Geography (Honors),Bachelor 
Bachelor of Arts Gujarati,Bachelor 
Bachelor of Arts Hindi,Bachelor 
Bachelor of Arts Hindi (Honors),Bachelor 
Bachelor of Arts Hindi Patrakarita Evam Jansanchar (Honors),Bachelor 
Bachelor of Arts History,Bachelor 
Bachelor of Arts History (Honors),Bachelor 
Bachelor of Arts Home Science (Honors),Bachelor 
Bachelor of Arts International Hospitality Administration,Bachelor 
Bachelor of Arts Journalism,Bachelor 
Bachelor of Arts Marathi,Bachelor 
Bachelor of Arts Mathematics (Honors),Bachelor 
Bachelor of Arts Music (Honors),Bachelor 
Bachelor of Arts Persian (Honors),Bachelor 
Bachelor of Arts Philosophy,Bachelor 
Bachelor of Arts Philosophy (Honors),Bachelor 
Bachelor of Arts Political Science (Honors),Bachelor 
Bachelor of Arts Politics,Bachelor 
Bachelor of Arts Prayojan Mulak Hindi,Bachelor 
Bachelor of Arts Psychology,Bachelor 
Bachelor of Arts Psychology (Honors),Bachelor 
Bachelor of Arts Public Service,Bachelor 
Bachelor of Arts Punjabi (Honors),Bachelor 
Bachelor of Arts Sanskrit,Bachelor 
Bachelor of Arts Sanskrit (Honors),Bachelor 
Bachelor of Arts Social Work (Honors),Bachelor 
Bachelor of Arts Sociology,Bachelor 
Bachelor of Arts Sociology (Honors),Bachelor 
Bachelor of Arts Tamil,Bachelor 
Bachelor of Arts Urdu (Honors),Bachelor 
Bachelor of Arts Vocational Studies,Bachelor 
Bachelor of Arts Vyavaharik and Upyojit Marathi,Bachelor 
Bachelor of Audiology and Speech Language Pathology,Bachelor 
Bachelor of Ayurvedic Medicine & Surgery,Bachelor 
Bachelor of Business Administration (Foreign Trade),Bachelor 
Bachelor of Business Administration (Hospitality Managment),Bachelor 
Bachelor of Business Administration (Hospitality Managment/Tourist & Travel Management),Bachelor 
Bachelor of Business Administration (Information Systems Management),Bachelor 
Bachelor of Business Administration (Information Technology Management),Bachelor 
Bachelor of Business Administration (Shipping),Bachelor 
